,Funding Orgs
1116,King Fahd University of Petroleum and Minerals; Turkish Academy of SciencesTurkish Academy of Sciences
1117,King Fahd University of Petroleum Minerals
1118,King Fahd University of Petroleum Minerals [151001]
1119,"King Fahd University of Petroleum Minerals [DF191004]; King Abdullah City for Atomic and Renewable Energy (K.A. CARE), Energy Research & Innovation Center (ERIC) at KFUPM"
1120,King Fahd University of Petroleum Minerals [FT161018]
1121,King Fahd University of Petroleum Minerals [IN 171048]
1122,King Fahd University of Petroleum Minerals [IN121055]
1123,King Fahd University of Petroleum Minerals [IN121062]
1124,King Fahd University of Petroleum Minerals [IN131029]
1125,King Fahd University of Petroleum Minerals [IN151001]
1126,King Fahd University of Petroleum Minerals [IN161002]
1127,King Fahd University of Petroleum Minerals [IN161005]
1128,King Fahd University of Petroleum Minerals [IN171048]
1129,King Fahd University of Petroleum Minerals [IP142-MATH-111]
1130,King Fahd University of Petroleum Minerals [RG1328]
1131,King Fahd University of Petroleum Minerals [RG171003]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
1132,King Fahd University of Petroleum Minerals [SB171002]
1133,King Fahd University of Petroleum Minerals [SR161015]
1134,"King Fahd University of Petroleum Minerals; Federal University, Ndufu-Alike, Ikwo, Ebonyi State, Nigeria;  [RG 161002 NSTIP15-ADV4907-04]"
1135,King Fahd University of Petroleum Minerals; KACST-NSTIP [13-NAN525-04]
1136,King Fahd University of Petroleum Minerals; KACST-NSTIP [15-ADV4632-04]
1137,King Fahd University of Petroleum Minerals; KFUPM Internal Funded Grant (DSR) [IN171028]
1138,King Fahd University of Petroleum Minerals; King Abdulaziz City for Science and Technology [AT-30-291]
1139,King Fahd University of Petroleum Minerals; King Abdulaziz City for Science and Technology through NSTIP Project [15-ADV5209-04]
1140,King Fahd University of Petroleum Minerals; King Abdulaziz City of Science and Technology through the NSTIP Project [14-ENE2897-04]
1141,King Fahd University of Petroleum Minerals; University of Illinois at Urbana-Champaign
1142,King Fand University
1143,King Fand University of Petroleum & Minerals (KFUPM)
1144,King Fand University of Petroleum & Minerals (KFUPM) [IN141035]
1145,King Fand University of Petroleum & Minerals (KFUPM) [IN161011]
1146,"King Fand University of Petroleum & Minerals (KFUPM), Saudi Arabia"
1147,King Fand University of Petroleum & Minerals through Deanship of Research [IN171021]
1148,"King Fand University of Petroleum & Minerals, Dhahran, Saudi Arabia [RG1324-1, RG1324-2]"
1149,"King Fand University of Petroleum and Mineral (KFUPM), Saudi Arabia [CENT-2201]"
1150,King Fand University of Petroleum and Minerals
1151,"King Fand University of Petroleum and Minerals - Saudi Arabia [SR141002]; King Saud University, Deanship of Scientific Research - Saudi Arabia [RG-1438-092]"
1152,King Fand University of Petroleum and Minerals (KFUPM)
1153,King Fand University of Petroleum and Minerals (KFUPM) - Saudi Arabia
1154,King Fand University of Petroleum and Minerals (KFUPM) - Saudi Arabia under DSR project [IN161027]; SABIC [ME 2394]; KFUPM DSR project [IN151034]
1155,King Fand University of Petroleum and Minerals (KFUPM) [DSR NUS15105]
1156,King Fand University of Petroleum and Minerals (KFUPM) [FT161013]; Saudi Basic Industries Corporation (SABIC) [FT161013]
1157,King Fand University of Petroleum and Minerals (KFUPM) [HR/FPA/10]; KFUPM
1158,King Fand University of Petroleum and Minerals (KFUPM) [IN151001]
1159,King Fand University of Petroleum and Minerals (KFUPM) [IN161027]
1160,King Fand University of Petroleum and Minerals (KFUPM) [IN171001]
1161,King Fand University of Petroleum and Minerals (KFUPM) [IN171001]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
1162,King Fand University of Petroleum and Minerals (KFUPM) [IN171018]
1163,King Fand University of Petroleum and Minerals (KFUPM) [MIT11111-11112]; King Abdulaziz City for Science and Technology (KACST) [11-ADV2134-04]
1164,King Fand University of Petroleum and Minerals (KFUPM) [SR161021]
1165,King Fand University of Petroleum and Minerals (KFUPM) in Saudi Arabia [FT141010]
1166,King Fand University of Petroleum and Minerals (KFUPM) through the Deanship of Research [DF181028]
1167,"King Fand University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia"
1168,"King Fand University of Petroleum and Minerals (KFUPM), Saudi Arabia [MIT11111-11112]"
1169,King Fand University of Petroleum and Minerals (KFUPM); Center for Environment and Water (CEW) at KFUPM
1170,King Fand University of Petroleum and Minerals [DSR NUS15105]
1171,"King Fand University of Petroleum and Minerals [DSR NUS15105]; Center for Environment and Water, Research Institute, King Fand University of Petroleum and Minerals, Saudi Arabia"
1172,King Fand University of Petroleum and Minerals [DSR SR171007]; FICYT Regional Project [GRUPIN14-102]; Spanish MINECO-FEDER [CTQ2015-63552-R]
1173,King Fand University of Petroleum and Minerals [FT161003]
1174,King Fand University of Petroleum and Minerals [SB181033]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51604013]; ANR-ANSWER project [ANR-16-CE32-0009]; ANR-OSS-Cyano projectFrench National Research Agency (ANR) [ANR-13-ECOT-0001]
1175,King Fand University of Petroleum and Minerals through the Center for Clean Water and Clean Energy at KFUPM [R6-DMN-08]; MIT [IN171048]
1176,"King Fand University of Petroleum and Minerals, Dhahran, Saudi Arabia [IN141026]"
1177,"King Fand University of Petroleum and Minerals, Dhahran, Saudi Arabia; National Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada"
1178,"King Fand University of Petroleum and Minerals, Dhahran, Saudi Arabia; Thamar University, Yemen"
1179,"King Fand University of Petroleum and Minerals, Saudi Arabia"
1180,King Fand University of Petroleum Minerals
1181,"King Fand University of Petroleum Minerals [IN121028, IN161002]"
1182,King Fand University of Petroleum Minerals [IN151001]
1183,King Fand University of Petroleum Minerals [IN151001]; Khwaja Fareed University of Engineering and Information Technology
1184,"King Fand University of Petroleum Minerals [SB171010, IN171048]"
1185,"King Khalid University, Abha; Center of Research Excellence in Renewable Energy (CoRE-RE), King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
1186,"King Saud University, Riyadh, Saudi ArabiaKing Saud University [RSP-2019/60]"
1187,King Saud UniversityKing Saud University
1188,King Saud UniversityKing Saud University [RG-1436-032]
1189,"Korea International Ocean Discovery Program (K-IODP) - Ministry of Oceans and Fisheries, Korea; NSFNational Science Foundation (NSF) [OCE-1558689, OCE-1558688]; Basic Science Research Program through the National Research Foundation of Korea (NRF) - Ministry of Education [2016R1D1A3B03931481]; ARC LIEF schemeAustralian Research Council [LE140100047]; National Program on Global Change and Air-Sea Interaction [GASI-GEOGE-02]"
1190,KTUKaradeniz Technical University [FBA-2017-6863]; TOGU [2016/75]; 2216-Research Fellowship Program of TUBITAKTurkiye Bilimsel ve Teknolojik Arastirma Kurumu (TUBITAK)
1191,"Labex Arcane, France [ANR-11-LABX-0003-01]; King Fahd University of Petroleum & Minerals (KFUPM) [IN161011]"
1192,"Labex Arcane, France [ANR-11-LABX-0003-01]; Ministry of Higher Education and Scientific Research of Tunisia"
1193,"Lahore University of Management Sciences (LUMS), Pakistan; King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia"
1194,MAARIFAH - King Abdulaziz City for Science and Technology (KACST) - through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) - the Kingdom of Saudi Arabia [TIC-CCS-1]; KFUPM; KACST
1195,MAARIFAH-King Abdulaziz City for Science and Technology (KACST)-through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM)-the Kingdom of Saudi Arabia [TIC-CCS-1]
1196,Max Planck Graduate Center (MPGC); State Excellence Cluster CINEMA;  [SFB 1066]
1197,Max Planck Graduate Center (MPGC); State Excellence Cluster CINEMA; German Academic Exchange Service (DAAD) in their Research Internships in Science and Engineering (RISE) program;  [SFB 1066]
1198,"Mechanical Engineering Department, Khwaja Fareed University of Engineering, and Information Technology (KFUEIT), Rahim Yar Khan; Northumbria University, UK [RDF20/EE/MCE/SHAHZAD]; King Fahd University of Petroleum & Minerals (KFUPM) [IN171048]"
1199,"Mechanical Engineering Departments of Khwaja Fareed University of Engineering and Information Technology (KFUEIT), Rahim Yar Khan; Universiti Sains Malaysia (USM)Universiti Sains Malaysia; King Fand University of Petroleum & Minerals (KFUPM) [IN171048]"
1200,"MHRD, India"
1201,MINECO/FEDER [CTQ2015-67366-P]; DGA/FSE [E07]
1202,"MINECO/FEDER projects [CTQ2013-42532-P, CTQ2015-67366-P]; KFUPM; European Social FundEuropean Social Fund (ESF)"
1203,Ministry of Education of the Kingdom of Saudi Arabia through the Overseas Scholarship Program; Research and Development Office (RDO); USA National Science FoundationNational Science Foundation (NSF) [1610474]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
1204,"Ministry of Education, Riyadh, Saudi Arabia"
1205,"Ministry of Education, Science and Technological Development of the Republic of Serbia [174 032]; Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM)"
1206,"Ministry of Energy and Mineral Resources, Republic of Indonesia"
1207,Ministry of Higher Education Malaysia under fundamental research grant scheme (FRGS) [FRGS/1/2017/TK04/UPM/02/5]
1208,"Ministry of Human Resource Development (MHRD), India"
1209,"Ministry of Human Resource Development (MHRD), New Delhi, India"
1210,"Ministry of Human Resource Development (MHRD), New Delhifor"
1211,"Ministry of Human Resource Development, Government of IndiaMinistry of Human Resource Development (MHRD), Government of India"
1212,ministry of Human Resources and Development
1213,"Ministry of Human Resources and Development (MHRD), New Delhi"
1214,Ministry of Research and Higher Education (RISTEKDIKTI) [01/Kontrak Penelitian/UPP/PSNI/2018]; Lembaga Pengelola Dana Penelitian (LPDP) Indonesia
1215,"Ministry of Research and Higher Education (RISTEKDIKTI) [01/Kontrak Penelitian/UPP/PSNI/2018]; Lembaga Pengelola Dana Penelitian (LPDP), Indonesia"
1216,"Ministry of Research, Technology and Higher Education (KEMENRISTEKDIKTI) Republic of Indonesia through World Class Professor program in 2018 [123.6/D2.3/KP/2018]; University of Technology Sydney [321740, 2232397]"
1217,"Ministry of Science and Technology of Bangladesh; Center of Excellence in Nanotechnology (CENT), King Fahd University of Petroleum and Minerals, Saudi Arabia"
1218,"Ministry of Science and Technology of Bangladesh; Center of Research Excellence in Nanotechnology, King Fahd University of Petroleum and Minerals, Saudi Arabia"
1219,"Ministry of Science and Technology of Bangladesh; Center of Research Excellence in Nanotechnology, King Fand University of Petroleum and Minerals, Saudi Arabia"
1220,Ministry of Science and Technology of China (Taiwan) [MOST 106-2622-E-218-007-CC3]; Nippon Sheet Glass Foundation (Japan); University MalayaUniversiti Malaya; King Fahd University of Petroleum Minerals
1221,Ministry of Science and Technology of China (Taiwan) [MOST 106-2622-E218-007-CC3]; Nippon Sheet Glass Foundation (Japan) - the Overseas Research Grant; University of MalayaUniversiti Malaya; King Fahd University of Petroleum Minerals
1222,"Ministry of Science and Technology of TaiwanMinistry of Science and Technology, Taiwan"
1223,"Ministry of Science and Technology of TaiwanMinistry of Science and Technology, Taiwan [108-2221-E-009-058-MY3]; University of Engineering and Technology Taxila [47050]"
1224,Morocco CNRST (National Centre for Scientific & Technical Research)
1225,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11671282]; DST-SERBDepartment of Science & Technology (India)Science Engineering Research Board (SERB), India [EMR/2016/005124];  [MOST 105-2115-M-039-002-MY3]"
1226,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11701432]
1227,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11701432]; Deanship of Scientific Research at King Fand University of Petroleum Minerals [SB171013]
1228,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [21506254]; Science Foundation of China University of Petroleum, Beijing [2462014YJRC020, 2462018BJC003]"
1229,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [21506254]; Science Foundation of China University of Petroleum, Beijing [2462014YJRC020]"
1230,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [21706195]
1231,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51604013]; State Major Science and Technology Special Project of China [2016ZX05025-003-007]
1232,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71973040, 11701432]"
1233,"National Plan for Science, Technology and Innovation (MAAR-IFAH), King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), Kingdom of Saudi Arabia [10-NAN1388-04]"
1234,"National Plan for Science, Technology and Innovation (MAARIFAH) - KACST through the Science & Technology Unit at KFUPM [IN161965];  [15-ELE4117-04]"
1235,"National Plan for Science, Technology and Innovation (MAARIFAH) - King Abdulaziz City for Science and Technology - through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) - the Kingdom of Saudi Arabia [11-ADV2132-04]"
1236,"National Plan for Science, Technology and Innovation (MAARIFAH) - King Abdulaziz City for Science and Technology - through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) [12-ENE2384-04]"
1237,"National Plan for Science, Technology and Innovation (Maarifah) - King Abdulaziz City for Science and Technology - through the Science & Technology Unit at the King Fand University of Petroleum & Minerals, the Kingdom of Saudi Arabia [12-INF3015-04]"
1238,"National Plan for Science, Technology and Innovation (MAARIFAH) - King Abdulaziz City for Science and Technology - through the science and technology unit at King Fahd University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [13-BUI2192-04]"
1239,"national plan for Science, Technology and Innovation (MAARIFAH) - King Abdulaziz city for Science and Technology - through the science and technology unit at King Fand University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [14-BUI252-04]"
1240,"national plan for Science, Technology and Innovation (MAARIFAH) - King Abdulaziz city for Science and Technology (KACST) - through the science and technology unit at King Fahd University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [14-BUI252-04]"
1241,"National Plan for Science, Technology and Innovation (MAARIFAH) -King Abdulaziz City for Science and Technology - through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) - the Kingdom of Saudi Arabia [11-INF1633-04]"
1242,"National Plan for Science, Technology and Innovation (MAARIFAH) -King Abdulaziz City for Science and Technology through the Science and Technology Unit, King Fahd University of Petroleum and Minerals (KFUPM), Kingdom of Saudi Arabia [11-ELE2147-4]"
1243,"National Plan for Science, Technology and Innovation (Maarifah) King Abdulaziz City for Science and Technology through the Science & Technology Unit at the King Fand University of Petroleum & Minerals (KFUPM), the Kingdom of Saudi Arabia [12-INF3015-04]"
1244,"National Plan for Science, Technology and Innovation (Maarifah) King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) the Kingdom of Saudi Arabia [15-ELE4157-04]; Deanship of Scientific Research in KFUPM [IN161023]"
1245,"National Plan for Science, Technology and Innovation (MAARIFAH) of the King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at the King Fand University of Petroleum  Minerals (KFUPM), Kingdom of Saudi Arabia [13-ENV1968-04]"
1246,"National Plan for Science, Technology and Innovation (Maarifah) of the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [15-ELE4651-04]"
1247,"National Plan for Science, Technology and Innovation (MAARIFAH)-King Abdul-Aziz City for Science and Technology-through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM)-the Kingdom of Saudi Arabia [TIC-CCS-1]"
1248,"National Plan for Science, Technology and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum  Minerals (KFUPM)-the Kingdom of Saudi Arabia [TIC-CCS-1]"
1249,"National Plan for Science, Technology and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), the Kingdom of Saudi Arabia [15NAN4650-04]"
1250,"National Plan for Science, Technology and Innovation (Maarifah)-King AbdulAziz City for Science and Technology (KACST)-through the Science and Technology Unit, King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [15-ELE4651-04]"
1251,"National Plan for Science, Technology and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology through the Science and Technology (KACST) Unit at King Fahd University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [15-NAN4650-04]"
1252,"National Plan for Science, Technology and Innovation (Maarifah)-King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM)-the Kingdom of Saudi Arabia [15-ELE4157-04]; Deanship of Scientific Research in KFUPM [IN161023]"
1253,"National Plan for Science, Technology and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [15-NAN4650-04]"
1254,"National Plan for Science, Technology and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology-through Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM)-The Kingdom of Saudi Arabia [13-Oil-151-04]"
1255,"National Plan for Science, Technology and Innovation (Maarifah)-King AbdulAziz City for Technology- through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), The Kingdom of Saudi Arabia [15-ELE4651-04]"
1256,"National Plan for Science, Technology and Innovation (MAARIFAH)-KingAbdulaziz City for Science and Technology through the Science& Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), the Kingdom of Saudi Arabia [11-ELE2147-4]"
1257,"National Plan for Science, Technology and Innovation (MAARIFAH), King Abdulaziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), Kingdom of Saudi Arabia [13-NAN1627-04]"
1258,"National Plan for Science, Technology and Innovation (MAARIFAH); King Abdulaziz City for Science and Technology (KACST); King Fahd University of Petroleum & Minerals (KFUPM)-the Kingdom of Saudi Arabia [14-ENE58-04]"
1259,"National Plan for Science, Technology and Innovation (MARIFAH) - King Abdulaziz City for Science and Technology - through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), the Kingdom of Saudi Arabia [14-ADV147-04]"
1260,"National Plan for Science, Technology and Innovation (MARIFAH) - King Abdulaziz City for Science and Technology - through the Science & Technology Unit at King Fand University of Petroleum & Minerals (KFUPM), Kingdom of Saudi Arabia [14-ADV147-04]"
1261,"National Plan for Science, Technology and Innovation (MARIFAH)-King Abdulaziz City for Science and Technology-through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), the Kingdom of Saudi Arabia [14-PET165-04]; KFUPM/NUS"
1262,"National Plan for Science, Technology and Innovation (MARIFAH)-King Abdulaziz City for Science and Technology-through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), the Kingdom of Saudi Arabia [14-PET2737-04]"
1263,"National Plan for Science, Technology and Innovation King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM) the Kingdom of Saudi Arabia [15-ELE4157-04]; Deanship of Scientific Research in KFUPM [IN161023]"
1264,"National Plan for Science, Technology, and Innovation (MAARIFAH) - King Abdulaziz City for Science & Technology through Science & Technology Unit at King Fahd University of Petroleum & Minerals - Kingdom of Saudi Arabia [14-INF83-04]"
1265,"National Plan for Science, Technology, and Innovation (MAARIFAH) - King Abdulaziz City for Science AMP; Technology through the Science AMP; Technology Unit at King Fahd University of Petroleum AMP; Minerals - Kingdom of Saudi Arabia [14-INF83-04]"
1266,"National Plan for Science, Technology, and Innovation (MAARIFAH) - King Abdulaziz City for Science and Technology - through the Science and Technology unit at King Fahd University of Petroleum and Minerals (KFUPM) - the Kingdom of Saudi Arabia [13-NAN1600-04]"
1267,"National Plan for Science, Technology, and Innovation (MAARIFAH) - King Abdulaziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [12-ELE2381-04]"
1268,"National plan for science, technology, and innovation (Maarifah) - King AbdulAziz City for Technology - through the Science and Technology Unit at King Fahd University of petroleum and Minerals (KFUPM), Saudi Arabia [15-ELE4651-04]"
1269,"National Plan for Science, Technology, and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology through the Science & Technology Unit at King Fahd University of Petroleum & Minerals, the Kingdom of Saudi Arabia [11-ELE2147-4]"
1270,"National Plan for Science, Technology, and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology-through the Science & Technology Unit at King Fand University of Petroleum & Minerals the Kingdom of Saudi Arabia [13-PET405-04]"
1271,"National Plan for Science, Technology, and Innovation (MAARIFAH)-King Abdulaziz City for Science and Technology-through the Science and Technology unit at the King Fand University of Petroleum and Minerals (KFUPM)-the Kingdom of Saudi Arabia [13-NAN1600-04]"
1272,"National Plan for Science, Technology, and Innovation (MAARIFAH), King Abdul-Aziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), Kingdom of Saudi Arabia [13-NAN1627-04]"
1273,"National Plan for Science, Technology, and Innovation (MAARIFAH), King Abdulaziz City for Science and Technology, through the Science and Technology Unit at the King Fahd University of Petroleum & Minerals (KFUPM) [12-ENE2384-04]"
1274,"National Plan for Science, Technology, and Innovation, King Abdulaziz city for Science and Technology, through the science and technology unit at King Fahd University of Petroleum and Minerals (KFUPM), the Kingdom of Saudi Arabia [13-BUI2192-04]"
1275,"National Plan for Science,Technology and Innovation (MAARIFAH) King Abdulaziz City of Science & Technology through the Science and Technology Unit at (KFUPM), the Kingdom of Saudi Arabia [14-01L310-04]"
1276,"National Science and Engineering Research Council (NSERC) of CanadaNatural Sciences and Engineering Research Council of Canada; Department of Electrical and Computer Engineering, The University of New Brunswick"
1277,"National Science and Technology Major Projects of China [2016ZX05037-003, 2017ZX05049-003]"
1278,"National Science Foundation (United States)National Science Foundation (NSF); Middle East Institute, National University of Singapore"
1279,"National Science, Technology and Innovation Plan (NSTIP) [12-ENV2367-04]; Department of Physics, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
1280,"National Science, Technology and Innovation Plan (NSTIP) [13-INF281-04]"
1281,"National Science, Technology and Innovation Plan (NSTIP) of King Abdulaziz City for Science and Technology [12-ENV2365-04]; Internal Research Grants of King Fahd University of Petroleum and Minerals [RG1422-1, RG1422-2]"
1282,"National Science, Technology and Innovation Plan (NSTIP), Saudi Arabia [14-ADV890-04-R]"
1283,"National Science, Technology and Innovation Program of KACST [12-ENE2379-04]; KFUPM"
1284,National Sciences Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [U1610109]; UOW Vice-Chancellor's Postdoctoral Research Fellowship; Babol Noshirvani University of Technology [BNUT/390051/97]
1285,National University of Malaysia (@UKM) [GUP-2017-031]
1286,Natural Science Foundation of ChongqingNatural Science Foundation of Chongqing [cstc2019jcyj-msxmX0443]; Preparatory Project of Chongqing Jiaotong University [2018PY22]
1287,Natural Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada; Federal Economic Development Agency for Sothern Ontario (FedDev Ontario); King Fahd University of Petroleum Minerals
1288,Newton Prize 2017; Research Environment Links grant under the Newton Programme Vietnam partnership [339568416]
1289,"North West University (NWU), South Africa; Deanship of Scientific Research at King Saud UniversityKing Saud University [RGP-160]"
1290,North-West University (Mafikeng Campus) South Africa
1291,North-West University (Mafikeng Campus); National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [21706195]
1292,"North-West University (NWU) Mafikeng Campus, South Africa"
1293,"North-West University, Mafikeng Campus, South Africa"
1294,Northrop Grumman Corporation; US National Science Foundation (NSF)National Science Foundation (NSF) [IIS-0964639]
1295,NPRP Grant from Qatar National Research Fund (a member of Qatar Foundation) [9-084-2-041]; KFUPM
1296,"NRF of Korea [NRF-2011-0030044, NRF-2015R1A1A1A05001580]"
1297,NSFNational Science Foundation (NSF) [EAR-0824299]; National GeographicNational Geographic Society; Smithsonian InstitutionSmithsonian Institution; Ricardo Perez S.A.
1298,NSTIP [11-ADV1631-04]
1299,NUS/KFUPM collaboration; King Abdulaziz City for Science and Technology [14-PET165-04]
1300,"Office of Competitive Research Funding at the King Abdullah University of Science and Technology (KAUST); Deanship of Scientific Research at King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [KAUST-002]"
1301,Oil-Subcommittee of Abu Dhabi National Oil Company (ADNOC);  [RDProj.083-RCM]
1302,"PE, UET Lahore, Pakistan; CoRE-RE, KFUPM, Dhahran, KSA"
1303,"Petroleum Engineering Department; Center for Integrative Petroleum Research, the King Fahd University of Petroleum Minerals"
1304,physic department at KFUPM [IN131056]; deanship of scientific research at KFUPM [IN131056]
1305,Physics Department at King Fahd University of Petroleum and Minerals
1306,Physics Department at King Fand University of Petroleum and Minerals
1307,Physics department King Fahd University of Petroleum and Minerals
1308,Physics Department of King Fahd University of Petroleum and Minerals
1309,Physics Department of King Fand University of Petroleum and Minerals
1310,"Physics Department, Deanship of Scientific Research (DSR); KFUPM [RG 1421]"
1311,"Physics Department, King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia"
1312,"Physics Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Princess Nora Bint Abdul Rahman University, Riyadh, Saudi Arabia; Department of Physics, Hafrul Batin University, Hafrul Batin, Saudi Arabia"
1313,"Physics Department, Universiti Putra Malaysia"
1314,"Polish Ministry of Science and Higher EducationMinistry of Science and Higher Education, Poland; King Fahd University of Petroleum and Minerals [IN171005]"
1315,"Portuguese Science Foundation (""FundacAo para a Ciencia e a Tecnologia""-FCT)Portuguese Foundation for Science and Technology [CQC UIDB/00313/2020, UIDP/00313/2020]; FEDER/COMPETE 2020-EU; FCTPortuguese Foundation for Science and Technology [SFRH/BD/129852/2017, UID/FIS/04564/2020]; QREN-Mais Centro"
1316,Prince Mohammad Bin Fahd University (PMU)
1317,"priority program SPP1959 ""Manipulation of Matter Controlled by Electric and Magnetic Fields: Towards Novel Synthesis and Processing Routes of Inorganic Materials"""
1318,"Qatar Environment and Energy Research Institute (QEERI); College of Science and Engineering, Hamad Bin Khalifa University (HBKU); Qatar Foundation, Qatar; Center for Environment and Water (CEW) at King Fand University of Petroleum and Minerals (KFUPM), Saudi Arabia"
1319,Qatar National Research Fund (QNRF) through the National Priorities Research Program (NPRP) Exceptional grant [NPRP X-107-1-027]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
1320,"Research & Development Center, Saudi Aramco Oil Company [CENT2210]"
1321,Research & Development Office (RDO) in the Ministry of Education
1322,"Research & Development Office (RDO), Ministry of Education, Kingdom of Saudi Arabia"
1323,"Research and Development (R&D) Program (Research Pooling Initiative) [RDO-HQIP19-38]; Ministry of Education, Riyadh, Saudi Arabia"
1324,"Research and Development (R&D) Program (Research Pooling Initiative), Ministry of Education, Riyadh, Saudi Arabia"
1325,"Research and Development (R&D) Program (Research Pooling Initiative), Ministry of Education, Riyadh, Saudi Arabia; Ministry of Education"
1326,"Research and Development Center at Saudi Aramco, Dhahran"
1327,Research and Development Office (RDO) in Ministry of Education (MoE)
1328,"Research and Development Office (RDO) in the Ministry of Education (MoE) under High Quality/Impact Research Publication Initiative, Saudi Arabia"
1329,Research and Development Office (RDO); King Fahd University of Petroleum and Minerals (KFUPM) [IN181028]
1330,"Research and Development Program under the Research Pooling Initiative, Ministry of Education, Riyadh, Kingdom of Saudi Arabia"
1331,"Research Center for Interneural Computing, China Medical University Hospital, China Medical University, Taichung, Taiwan"
1332,"Research Center of Female Scientific and Medical Colleges, Deanship of Scientific Research, King Saud University, Riyadh, Saudi Arabia"
1333,Research Council of the University of Yasouj; Graduate School of the University of Yasouj
1334,"Research Grants Council, University Grants Committee [PolyU 152099/18E, PolyU 15204719/18E]"
1335,"research group funding for the Water Research Group at the King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia"
1336,"Research Institute at King Fand University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia"
